Course Name,Multi Categories,Course URL,Course Provider,Short Description,Long Description,Difficulty,Duration,Commitment,Number of Enrolled,Cost,Alternative Options,Language,Video Language,Prerequisites,
Electric Cars: Policy,Engineering,https://www.edx.org/course/electric-cars-policy,Delft University of Technology,Learn about the role of public policy in steering technological innovation and infrastructural change toward zero-emission mobility.,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. As the massive adoption of electric mobility will deeply change our society and our individual routines, government intervention is called for. If you are interested in learning about the roles of government in shaping the transition towards electric mobility and renewable energy systems, then this is the course for you. 
In this course, you will explore the promise of electric mobility from different public policy perspectives and different levels of government, and learn how they interact. After completing this course, you will be able to assess a policy plan to support the introduction of electric cars and make a motivated choice between alternative policy instruments. In the final week, the course will be concluded by connecting the different track perspectives. 
The course includes video lectures, presentations and exercises, which are all illustrated with real-world case studies from projects that were implemented in the Netherlands. This includes the Formula-E Team, Netherlands Enterprise Agency(RVO) and Car as a power plant project. 
This course was co-developed with the Dutch Innovation Centre for Electric Road Transport (Dutch-INCERT) and is taught by experts from both industry and academia, who share their knowledge and insights.",Intermediate,4 weeks,4–5 hours per week,"10,428",Free,$99 USD,English,English," It is recommended that learners complete the first course, Electric cars: Introduction (DelftX- eCars1x) before beginning this course to be familiar with the basic concepts.",
Electric Cars: Technology,Engineering,https://www.edx.org/course/electric-cars-technology,,Get an in-depth understanding of the technology behind electric cars.,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. If you are interested in learning about the state-of-the-art technology behind electric cars, then this is the course for you! 
This course focuses on the technology behind electric cars. You will explore the working principle of electric vehicles with different operations including regenerative braking, delve into the machines and power electronics used in electric vehicles and the technology behind their operation, learn about battery technology, EV charging, smart charging, battery management systems and thermal systems and about future trends in the development of electric cars like autonomous driving. 
The course includes video lectures, presentations and exercises, which are all illustrated with real-world case studies from projects that were implemented in the Netherlands. This includes Lightyear One EV, the Carver EV, ABB EV charging infrastructure and the Vattenfall solar race team. 
This course was co-developed by Dutch Innovation Centre for Electric Road Transport (Dutch-INCERT) and TU Delft and is taught by experts from both the industry and academia, who share their knowledge and insights. 
Join the course and be prepared for the upcoming developments amid the transition to electric vehicles!",Intermediate,5 weeks,4–5 hours per week,"68,209",Free,"₹ 8,096",English,English," It is recommended that learners complete the first course, Electric cars: Introduction (DelftX- eCars1x) before beginning this course to be familiar with the basic concepts.",
Electrical-Based Non-Destructive Testing and Sensing,Engineering,https://www.edx.org/course/electrical-based-non-destructive-testing-and-sensing,,Learn how electrical-based nondestructive testing (NDT) methods and emerging infrastructure-sensing technologies are used to predict service life of civil engineering structures.,"Given that concrete elements are used in critical elements of infrastructure, determining the extent of degradation plays a critical role in managing the long-term performance of the concrete and identifying when to repair or replace it. 
In this course, students will learn about electrical-based NDT methods and emerging infrastructure sensing technologies. Topics covered include commonly used NDT methods for steel and concrete structures and advanced infrastructure sensing techniques, such as eddy currents, wireless sensing, fiber optics, and embedded sensor networks. 
The course also includes case studies so students can apply the knowledge to field inspection or monitoring of materials and structures.",Intermediate,5 weeks,2–3 hours per week,,Free,"₹ 61,332",English,English," Students interested in taking this course should successfully complete the edX course, Fundamentals of Non-Destructive Testing, before registering.",
Electricity Distribution,Engineering,https://www.edx.org/course/electricity-distribution,,"This course is designed like a field trip. Let’s travel together around the world, visiting solar farms, substations, and transformer rooms! Learn how to identify major components in electrical substations, learn about 3-phase electricity, and all about the ins and outs of electrical grids. We cover generation, transmission, and distribution. Welcome!","In this class, learners will learn all about electricity infrastructure, including electricity generation, transmission, use and safety. The focus is on actual installations, so students can learn about electrical substations, 3-phase power distribution, typical power plant voltages, large transformers, as well as single-phase, split-phase, and 3-phase circuit breaker boxes and wiring setups found around the world. Learners will understand the importance of AC in an electricity grid, as well as grounding/earthing, pole transformer setups, as well as residual current/ground fault interrupt and safety setups and lightning protection.",Intermediate,7 weeks,1–2 hours per week,,Free,"₹ 11,367",English,English," The student should be familiar with the basics of electricity. For instance, the student should understand Ohm’s Law and the use of phasors in AC. Our previous courses Circuits for Beginners and AC & Switching Circuits may be helpful for learners who aren’t familiar with these concepts.",
Electromagnetic Compatibility Essentials,Engineering,https://www.edx.org/course/electromagnetic-compatibility-essentials,,Advance your career by learning the basics of EMC. Explore all the different aspects and challenges every electronics engineer must be aware of.,"Why can’t I connect to WiFi? Why does my Bluetooth stop working when I use USB 3.0? Oh! I just sparked into my computer after sitting down; is it damaged now? All of these issues have to do with electromagnetic compatibility (EMC). International EMC experts David Pommerenke and Bernd Deutschmann break down situations that seem highly complex in order to highlight the causes of interference.
This course is designed to gain essential know-how in today’s world of very high frequencies. For instance, smartphone CPUs already work with clock frequencies above 3 GHz. But did you know that such fast switching disturbs other devices nearby? Such disturbances are either simply annoying or can become a real problem. As a consequence, international regulations exist which demand for emission and immunity tests before selling an electronic device.
The topic of EMC must be considered in all aspects of circuit design in order to reduce the number of prototypes. We would like you to gain an intuition for EMC with the help of lab examples. We emphasize basic physical principles and avoid highly complex mathematical derivations instead. After completion, a certificate will be awarded. We are already working on three follow-up courses to obtain a professional EMC certificate, backed by Graz University of Technology.
TU Graz offers more than 10 on-campus lectures on the subject of EMC, most of them in small laboratory groups. More than 10 full-time employees investigate electromagnetism in a variety of applications just in our research group only. We would like to share this expertise with the community, since EMC must be considered by all electronics engineers and project managers.
The FREE version of this course includes all material except final exam questions and the certificate. This is a self-paced course, so there are no weekly deadlines. You can join this class completely free of charge and purchase the certificate later in case you liked it. Give it a try and dive into the fascinating world of EMC.",Intermediate,4 weeks,5–7 hours per week,,Free,"₹ 8,178",English,English, Graduation from high school and fundamental knowledge of electrical engineering. Completion of bachelor's level lectures equivalent to 6.002x (circuit analysis and electromagnetics) is very helpful.,
Semiconductors for Beginners,Engineering,https://www.edx.org/course/electronic-materials-and-semiconductors,,"The primary goal of the course is to enable the student to understand what semiconductors are, and why they are important to the electronics industry. Students will first learn and understand why some materials are insulators and others are conductors, and will learn how these properties can be modified. The course also explores other situations where the conductivity of an insulator can be drastically changed, such as the situation inside a bolt of lightning or inside a semiconductor.","The primary goal of the course is to enable learners to understand what semiconductors are and exactly why they are useful to the electronics industry. 
We will learn why some materials are insulators and others are conductors, why some materials are transparent and others opaque, and we will learn how electrons move inside materials. The course explores situations where the conductivity of an insulator can be drastically changed, such as the situation inside a bolt of lightning or inside a semiconductor. 
Semiconductor physics textbooks are typically highly mathematical, and often rely on a foundation of solid state physics. This course, however, focuses less on mathematics and more on understanding at an intuitive level why materials have the properties that they do. For instance, silicon is a very important material in the modern electronics industry, and by the end of this short course, the reason why silicon is special will be clear.
This course is suitable for a first year university undergraduate student, or an older learner who did not study electrical engineering or materials science. High school-level physics is the assumed background. By the end of the course, learners will understand all of the fundamental terminology used in the semiconductor industry, and will be able to perform basic calculations.",Introductory,3 weeks,2–3 hours per week,,Free,"₹ 11,367",English,English, None,
Electrotechnique I,Engineering,https://www.edx.org/course/electrotechnique-i,,"Découvrez les circuits électriques linéaires. Apprenez à les maîtriser et à les résoudre, dans un premier temps en régime continu puis en régime alternatif.","Ce cours définit les notions de base des circuits électriques composés des trois éléments passifs (résistance, inductance et condensateur), linéaires et des sources de tension et de courant.
On traite ces circuits avec les lois élémentaires de l'électricité puis on développe une série de méthodes de combinaisons des éléments et de transformations du circuit qui mènent à leur simplification et permettent une analyse aisée des courants, tensions et puissances présents. Quelques circuits particuliers classiques sont présentés. 
Toutes ces méthodes sont premièrement développées en régime continu puis elles sont généralisées au régime alternatif, faisant intervenir le calcul complexe. L'importance du régime alternatif réside dans le fait qu'il est omniprésent au niveau de la distribution électrique domestique et industrielle.
This course is presented in French.",Introductory,8 weeks,3–4 hours per week,"16,376",Free,"₹ 11,367",English,," Afin de vous aider dans votre choix de cours, vous trouverez ci-dessous une liste non exhaustive des notions importantes à maîtriser:

Calcul analytique
Calcul trigonométrique
Calcul complexe

Attention : d’autres cours ont également des prérequis. Prière de vous référer aux descriptifs de cours.",
Embedded Systems Essentials with Arm: Get Practical with Hardware,"Computer Science, Engineering",https://www.edx.org/course/embedded-systems-essentials-with-arm-get-practical-with-hardware,Arm Education,"Spark your creativity with Arm. Level up your Embedded Systems skills by developing working embedded prototypes using the Mbed API and an Arm-based development board, and unlock the boundless opportunities of the Internet of Things.","Embedded systems are the fundamental building blocks of our connected world, and Arm-based devices are the industry standard. This course will provide you with the practical skills and confidence to build your own embedded system using the popular and affordable ST Nucleo F401RE development board.
You can purchase all the bill of materials required for the course directly from our technology partner STMicroelectronics: https://www.st.com/content/st_com/en/campaigns/educationalplatforms/embedded-arm-edx-edu.html
Connected home appliances, biomedical devices, autonomous vehicles and IoT applications all rely on real-time operating systems (RTOS) to manage multiple digital and analog inputs, and efficient communication protocols to handle the transfer of data between peripherals and a microcontroller. By enrolling in Embedded Systems Essentials with Arm: Get Practical with Hardware , you will discover why these are powerful tools for any aspiring Embedded Systems designer.
You’ll begin by obtaining an understanding of the basic principles of serial data communication and learn how to implement synchronous and asynchronous serial links on the ST Nucleo F401RE board. You’ll then be introduced to the powerful multitasking capabilities of RTOS. Using this new-found knowledge, you'll discover how to manage microcontroller peripherals in a concurrent manner, utilizing threads and other RTOS capabilities.
Along the way, you'll get access to practical lab exercises using the ST Nucleo F401RE board , so you can obtain real-world experience in implementing these key concepts on an Arm-based microcontroller.
This is the 2nd course in our Embedded Systems Essentials Program. The 1st course – Embedded Systems Essentials: Getting Started – focuses on using a simulated microcontroller using the Mbed API. In this second course, you’ll get hands-on experience working with a development board building embedded systems applications, and it can be taken independently of the first.
As we continue to create increasingly complex IoT applications, driven by the advances of Artificial Intelligence and 5G, the next generation of developers will need to have a practical understanding of these processes on Arm-based microcontrollers. Upon completion of this course, you will have taken your next step into the exciting future of computing.",Intermediate,10 weeks,3–6 hours per week,"6,898",Free,"₹ 8,096",English,English, None,
Embedded Systems Essentials with Arm: Getting Started,"Computer Science, Engineering",https://www.edx.org/course/embedded-systems-essentials-with-arm-getting-started,,Get practical without hardware. Quickly prototype and build microcontroller projects using industry-standard APIs.,"Embedded systems are everywhere – and Arm-based technologies are the industry standard. Getting started could not be easier. This course includes free access to an Mbed simulator so you can apply your new knowledge and skills to prototype and build real-world embedded applications quickly, without the trouble or expense of sourcing hardware. 
From the mobile, wearable, and smart devices of today to the transformative Artificial Intelligence (AI) and 5G powered Internet of Things (IoT) of the near future, embedded systems are the fundamental building blocks of our connected world. As we move from billions to trillions of intelligent, connected devices, it’s crucial that the next generation of engineers have a thorough understanding of how to rapidly build and deploy a modern embedded system solution.
In this course, you will learn the fundamentals of an embedded system and discover why the Arm architecture and processors are particularly well suited for IoT applications.
Our interactive labs have been designed to cover the technical fundamentals, developing in-demand skills essential for any aspiring embedded systems engineer.
You will begin by learning the characteristics of an embedded system, its components, benefits, and constraints, identify cost-performance trade-offs, and explore why the Arm architecture and processors are particularly well suited for the IoT.
You will then apply your new knowledge of digital and analog I/O, interrupts, low power features, timer and pulse width modulation to program an audio wave generator and audio player, and control peripherals along the way. 
All of this will be supported by the Mbed API – so no additional hardware is required, you can download and use the simulator right on your own computer. 
Over the six modules, you will gain a key overview of:

Embedded systems and their importance in modern computing applications
Industry-standard Arm-based microcontroller architecture, their features and programming models.

The possibilities for future IoT development and connection are enormous. In order to achieve this vision of the future, many engineers and developers will be needed to imagine and design these connected devices and the technologies they are built on.
The world of embedded systems is your doorway into the IoT, and all the opportunities it has to offer.",Intermediate,6 weeks,3–6 hours per week,"19,966",Free,$99 USD,English,English," 
Familiarity with engineering principles at an undergraduate level.
Basic understanding of a programming language such as C/C++.
Access to a Windows or Mac-based computer in order to install a local Docker image of the Mbed API simulator.
",
Embedded Systems - Shape The World: Microcontroller Input/Output,"Computer Science, Engineering",https://www.edx.org/course/embedded-systems-shape-the-world-microcontroller-i,,"Introduction to the world of embedded systems with a focus on microcontroller input/output in this hands-on, lab-based course.","Learn how electronic gadgets are designed, developed, and built as embedded systems that shape the world.
This is part one of a two part sequence. Together these are hands-on, learn-by-doing courses that show you how to build solutions to real-world problems using embedded systems. In this course, we take a bottom-up approach to problem solving, building gradually from simple interfacing of switches and LEDs to complex concepts like a microcontroller-based pacemaker, digital lock, and a traffic light controller. We will present both general principles and practical tips for building circuits and programming the microcontroller in the C programming language. You will develop debugging skills using oscilloscopes, logic analyzers, and software instrumentation. Laboratory assignments are first performed in simulation, and then you will build and debug your system on the real microcontroller. At the conclusion of this part 1 you will possess the knowledge to build your own traffic light controller from the ground up.
This is the fourth time we have offered this course. Since the reviews have been overwhelmingly positive we do not plan major changes over the previous offerings of the course. We did however break the large class into two smaller classes. There are eight labs in part 1 and six labs in part 2. Students can pick and choose a subset of labs to achieve certification. The three labs that students found most rewarding in this part were designing the software algorithm for a demand pacemaker, interfacing switches and LEDS, and the finite state machine traffic light controller.
To complete this course, you will be required to purchase a Texas Instruments TM4C123 microcontroller kit and a few electronic components.
This microcontroller has a state-of-the-art ARM Cortex-M4 processor.
We will provide instructions about purchasing the kit and installing required software at: http://edx-org-utaustinx.s3.amazonaws.com/UT601x/index.html.",Intermediate,8 weeks,8–10 hours per week,,Free,"₹ 16,273",English,English," Computer programming course in any language with exposure to variables, arithmetic, logic, loops, and functions. High school physics course covering current, voltage, resistance, and power.",
Embedded Systems - Shape The World: Multi-Threaded Interfacing,"Computer Science, Engineering",https://www.edx.org/course/embedded-systems-shape-the-world-multi-threaded-in,,"Build real-world embedded solutions using a bottom-up approach from simple to complex in this hands-on, lab-based course.","Learn how electronic gadgets are designed, developed, and built as embedded systems that shape the world.
This is part two of a two part sequence. In this class, we will use interrupts to design a range of real-time systems including an audio player, a data acquisition system, a control system, and an interactive game. This is a hands-on, learn-by-doing course that shows you how to build solutions to real-world problems using embedded systems. These courses use a bottom-up approach to problem solving, building gradually from simple interfacing of switches and LEDs to complex concepts like display drivers, digital to analog conversion, generation of sound, analog to digital conversion, motor control, graphics, interrupts, and communication. We will present both general principles and practical tips for building circuits and programming the microcontroller in the C programming language. You will develop debugging skills using oscilloscopes, logic analyzers, and software instrumentation. Laboratory assignments are first performed in simulation, and then you will build and debug your system on the real microcontroller. At the conclusion of this course you will possess the knowledge to build your own arcade-style game from the ground up.
This is the fourth time we have offered this course. Since the reviews have been overwhelmingly positive we do not plan major changes over the previous offerings of the course. We did however break the large class into two smaller classes. There are eight labs in part 1 and six labs in this class. Students can pick and choose a subset of labs to achieve certification. The three labs that students found most rewarding were the hand-held video game, generating sound using a digital to analog convertor, and creating a smart object using Wifi communication.
To complete this course, you will be required to purchase a Texas Instruments TM4C123 microcontroller kit and a few electronic components. This microcontroller has a state-of-the-art ARM Cortex-M4 processor.
We will provide instructions about purchasing the kit and installing required software at: http://edx-org-utaustinx.s3.amazonaws.com/UT601x/index.html.",Intermediate,8 weeks,8–10 hours per week,,Free,"₹ 16,273",English,English," Computer programming course in any language with exposure to variables, arithmetic, logic, loops, and functions. High school physics course covering current, voltage, resistance, and power. We expect students to have knowledge obtained in part 1 of the course including LED/switch interfacing, I/O port programming, finite state machine, microcontroller debugging, and C programming.",
Sign Language Science: Emergence and Evolution of Sign Language,Language,https://www.edx.org/course/emergence-and-evolution-of-sign-language,,"This course connects the emergence and evolution of signed languages to the history of the people who use these languages. You will learn this concept in depth, especially the legacy and heritage of American Sign Language (ASL).","ASL has a long history and good documentation. This course, Emergence and Evolution of Sign Language, explores the origins of ASL by beginning with the key events and key concepts. How do people learn signed languages? Why do people enjoy using them? This key information will provide a foundation for understanding the relationship between how people use language, how it’s learned, and how a language community is formed and sustained. This foundation will illustrate how the language survives, which is equally important to recognize. These ideas will be discussed in this core course and they provide a foundation of understanding about where language comes from and why they vary.",Introductory,4 weeks,3–5 hours per week,"10,350",Free,"₹ 8,096",English,English, None,
EmSAT English Preparation - Level 1,Language,https://www.edx.org/course/emsat-english-preparation-level-1,,"This Comprehension and Production course focuses on the pre-intermediate level and develops the learner’s reading, listening and study skills. Learners focus on high frequency and academic vocabulary, in addition to being introduced to the EmSAT exam structure.","This Pre-Intermediate English as a Second Language course helps students with a current EmSAT score lower than 1175 to develop their reading and grammar skills. Students will develop exam strategies to prepare them for the reading and vocabulary sections of their exam.
Additionally, students will develop writing, grammar, and vocabulary skills. The course will consolidate and expand upon basic grammatical knowledge in writing and speaking. The course will also teach exam strategies for the writing & grammar sections of the exam. Students will develop an understanding of the different writing & grammar tasks on the exam and an awareness of appropriate discourse structures for exam writing tasks.",Introductory,6 weeks,2–3 hours per week,"50,287",Free,"₹ 4,007",English,English, None,
EmSAT English Preparation - Level 2,Language,https://www.edx.org/course/emsat-english-preparation-level-2,United Arab Emirates University,"This EmSAT preparation course expands upon basic grammatical knowledge, develops general English vocabulary and develops critical thinking. To assist in preparation for the EmSAT exam learners develop exam strategies through their understanding of different reading and vocabulary question types.","This Upper-Intermediate English as a Second Language course that helps students with a current EmSAT scord between 1175 and 1225 to develop their reading and grammar skills. Students will develop exam strategies to prepare them for the reading and vocabulary sections of their exam. They will do this through understanding the different reading & vocabulary question types on the exam. The course also consolidates and expands upon basic grammatical knowledge, develops general English vocabulary and develops critical thinking.
Additionally, students will develop writing, grammar, and vocabulary skills. The course will consolidate and expand upon basic grammatical knowledge in writing and speaking. The course will also teach exam strategies for the writing & grammar sections of the exam. Students will develop an understanding of the different writing & grammar tasks on the exam and an awareness of appropriate discourse structures for exam writing tasks.",Intermediate,6 weeks,2–3 hours per week,"12,017",Free,$49 USD,English,English, None,
Enabling Technologies for Data Science and Analytics: The Internet of Things,"Computer Science, Data Analysis & Statistics",https://www.edx.org/course/enabling-technologies-for-data-science-and-analyti,,Discover the relationship between Big Data and the Internet of Things (IoT).,"The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020.
In this data science course, you will learn about the major components of the Internet of Things and how data is acquired from sensors. You will also examine ways of analyzing event data, sentiment analysis, facial recognition software and how data generated from devices can be used to make decisions.",Introductory,5 weeks,7–10 hours per week,"73,057",Free,"₹ 8,096",English,English," 
High school math
Some exposure to computer programming
",
Energy Supply Systems for Buildings,Engineering,https://www.edx.org/course/energy-conversion-systems-for-buildings,Delft University of Technology,"Discover how to convert natural resources into heat, cold and electricity, what the capabilities of renewable systems are, how to match energy supply with buildings’ energy demand, and what that means for energy efficiency and carbon emissions.","In this course, you will discover the supply side of buildings’ energy chain.
The first step is to consider how to convert natural resources into the energy needed by buildings: what are the options to create heat, cold and electricity? You will learn about efficiency and use this concept to estimate building’s primary energy use and carbon emissions. This concept is widely used in many national and international policies and building regulations, and is essential to counteract climate change.
You will study the performances of single heating systems like electrical heating, gas, or renewables like biomass, solar boilers and geothermal heat, followed by single cooling systems like evaporative cooling and environmental cold.
We will also examine the systems that concurrently produce heat and cold. Do you know for instance that a heat pump and a cooling machine are identical devices? You will learn about the basic working principles of heat pumps and how to make sure they achieve high performance levels. After this course you will know how an Aquifer Thermal Storage makes smart use of the ground to deliver cold in summer and heat in winter.
Diverse electricity generation methods using turbines (wind, hydro), photovoltaics or hydrogen fuel cells will also be examined. You will learn how cogeneration of heat and power works and why this is important for the rational use of energy resources. You will also know why heat pumps are often combined with boilers or to which extent it is worth to invest in batteries for your solar panels.
By the end of the course you will be able to decide on how to combine energy conversion systems at building level in order to match buildings’ energy demand while keeping costs acceptable, using a minimum of natural resources and producing a minimum of carbon emissions.
This course is part of the PCP Buildings as Sustainable Energy Systems. In the other courses in this program you can learn how to design buildings with low energy demand, how to create a comfortable indoor environment, and how to control and optimize HVAC systems.
The development of this course is supported by Climate-KIC.",Introductory,6 weeks,4–6 hours per week,"6,441",Free,"₹ 8,096",English,English, None,
Introduction to Energy Management Powered by RETScreen,Engineering,https://www.edx.org/course/energy-management-powered-by-retscreen,,The objective of this MOOC is to help organizations combat climate change through effective energy management. It explains proven strategies to reduce greenhouse gases and encourage the transition to a low carbon economy. It also provides an introduction to RETScreen Expert – the world’s leading software to empower cleaner energy decisions.,"The objective of this MOOC is to help organizations combat climate change through effective energy management. It explains proven strategies to reduce fossil fuel consumption, increase the use of renewable energy, cut greenhouse gases and encourage the transition to a low carbon economy. The RETScreen Expert software, the world’s leading software to empower cleaner energy decisions is used throughout the course.
All participants will be able to complete the course with the free version of the RETScreen software that is available online. An additional feature for those who purchase the course certification is a 90-day trial key to RETScreen Expert Professional mode , which allows you to explore the full range of the software's capabilities. Further details can be found when you purchase your verified certificate.
Module 1: Getting Started – The Foundations of Energy Management
This module introduces the course and lays the foundations for energy management. It has three parts:

The strategic imperative of energy management for the sustainability of the planet and the crucial role that organizations and their decision-makers play
The elements of a strategic approach to energy management
An introduction to the RETScreen software

Module 2: Reducing Energy End-Use - Introducing Benchmarking
This module focuses on the reducing energy consumption strategy and highlights the role of benchmarking. It has three parts:

The Reducing Energy End-Use strategy
RETScreen’s Virtual Energy Analyzer
Benchmarking for energy management

Module 3: Increasing Energy Efficiency - Introducing Feasibility Analysis
This module focuses on the increasing efficiency strategy and highlights the role of feasibility analysis. It has three parts:

The Increasing Energy Efficiency strategy
Financial analysis for energy management
Feasibility analysis for real property

Module 4: Optimizing Energy Supply – Introducing Perfomance Analysis
This module focuses on the optimizing energy supply strategy and highlights the role of performance management. It has four parts:

The Optimizing Energy Supply strategy
Feasibility analysis for power plants
Performance analysis for energy management
Reporting for energy management

Module 5: Energy Management – A Strategic Approach
This module brings together all of the strategies, and compares and contrasts them. As the final module, it also includes the exam. It has three parts:

A framework for action in energy management
Achieving multiple objectives: Carbon pricing
Portfolio analysis for energy management",Introductory,5 weeks,2–3 hours per week,,Free,"₹ 16,355",English,English, None,
Energy Systems Integration: A Trend or a Revolution?,Engineering,https://www.edx.org/course/energy-systems-integration-a-trend-or-a-revolution,,,"This course has been developed with the support of EIT InnoEnergy and ESIG.Businesses and institutions all over the world face critical energy challenges. Namely: the rising cost of energy, the effects of climate change, and the resulting threats to our energy security.If you want help identifying innovative and smart solutions, or if you're looking for new and integrated perspectives on the energy market, then this course is for you! Taking a multidisciplinary approach, this MOOC will help you understand how various energy systems interact and how you can relate your energy expertise to the wider framework of the energy transition.Through your coursework you will meet renowned academics who have joined forces with world-leading industry experts. Together, they'll help you build the skills necessary to develop, plan, and operate a truly integrated sustainable energy system.The course will look at energy systems from the perspective of five disciplines. The overarching value of energy systems integration, energy policy and regulation, the impact of electromobility, the future of electric power systems, and the psychology behind consumer behavior. For each of those disciplines, an experienced academic will explore six lessons, after which an industry expert will illustrate those lessons with real-life case studies.The evolution of today’s energy landscape is complex. And we acknowledge that many more disciplines are involved. Therefore, you may consider those covered in this course as an introduction to even more specialized learning modules that will be offered in the future.Is this course for me?This course will benefit you if you are a professional in the energy sector or simply have a strong interest in sustainable development as an individual. You will learn to understand how energy systems integration impacts your life, your business or research, and you will discover your potential to contribute to the exciting field of energy systems integration.",Advanced,5 weeks,7–8 hours per week,,Free,"₹ 6,133",English,English," Basic knowledge of either:

Energy technology: conversion principles, electricity generation types, battery storage, electric transport
Energy policy and markets
Demand response, consumer behavior
",
Energy Within Environmental Constraints,Engineering,https://www.edx.org/course/energy-within-environmental-constraints,,A quantitative introduction to the energy system and its environmental impacts.,"Humanity faces an immense challenge: providing abundant energy to everyone without wrecking the planet. If we want a high-energy future while protecting the natural world for our children, we must consider the environmental consequences of energy production and use. But money matters too: energy solutions that ignore economic costs are not realistic, particularly in a world where billions of people currently can’t afford access to basic energy services. How can we proceed? 
Energy Within Environmental Constraints won’t give you the answer. Instead, we will teach you how to ask the right questions and estimate the consequences of different choices. 
This course isrich in details of real devices and light on theory. You won’t find any electrodynamics here, but you will find enough about modern commercial solar panels to estimate if they would be profitable to install in a given location. We emphasizes costs: the cascade of capital and operating costs from energy extraction all the way through end uses. We also emphasize quantitative comparisons and tradeoffs: how much more expensive is electricity from solar panels than from coal plants, and how much pollution does it prevent? Is solar power as cost-effective an environmental investment as nuclear power or energy efficiency? And how do we include considerations other than cost? 
This course is intended for a diverse audience. Whether you are a student, an activist, a policymaker, a business owner, or a concerned citizen, this course will help you start to think carefully about our current energy system and how we can improve its environmental performance. 
Photo credits: 
Solar Farm CC-BY Michael Mees on flickr
Smokestack CC-BY Patrick on flickr",Introductory,10 weeks,3–5 hours per week,"1,29,223",Free,$139 USD,English,English," Certificate-earners will need chemistry and physics at the high school level, as well as basic algebra. However, the majority of the course is accessible to anyone.",
Engineering: Building with Nature,Engineering,https://www.edx.org/course/engineering-building-with-nature,,Learn how to use ecological and engineering design principles to develop more effective and sustainable hydraulic infrastructure.,"If you're interested in the concept of building with nature, then this is the engineering course for you. This course explores the use of natural materials and ecological processes in achieving effective and sustainable hydraulic infrastructural designs. You will learn the Building with Nature ecosystem-based design concept and its applications in water and coastal systems. During the course, you will be presented with a range of case studies to deepen your knowledge of ecological and engineering principles.
You'll learn from leading Dutch engineers and environmental scientists who see the Building with Nature integrated design approach as fundamental to a new generation of engineers and ecologists.
Join us in exploring the interface between hydraulic engineering, nature and society.",Intermediate,5 weeks,3–5 hours per week,"20,688",Free,"₹ 11,367",English,English," None. Analytical ability and basic physics will be helpful, as are an affinity for coastal and water systems and an interest in ecosystem-based engineering.",
Engineering Calculus and Differential Equations,"Engineering, Math",https://www.edx.org/course/engineering-calculus-and-differential-equations,,"Learn fundamental concepts of single-variable calculus and ordinary differential equations, as well as their applications in engineering fields. Apply mathematical skills to model and solve engineering problems.","How do electrical engineers find out all the currents and voltages in a network of connected components? How do civil engineers calculate the materials necessary to construct a curved dome over a new sports arena? How do space flight engineers launch an exploratory probe? 
If questions like these pique your interest, this course is for you! 
Calculus with differential equations is the universal language of engineers. In this course, “Engineering Calculus and Differential Equations,” we will introduce fundamental concepts of single-variable calculus and ordinary differential equations. We'll explore their applications in different engineering fields. In particular, you will learn how to apply mathematical skills to model and solve real engineering problems. 
This course will enable you to develop a more profound understanding of engineering concepts and enhance your skills in solving engineering problems. In other words, youwill be able to construct relatively simple models of change and deduce their consequences. By studying these, youwill learn how to monitor and even controla given system to do what you want it to do. 
Techniques widely used in engineering will be illustrated; such as Laplace transform for solving problems in vibrations and signal processing. We have designed animations and interactive visualizations to supplement complex mathematical theories and facilitate understanding of the dynamic nature of topics involving calculus.",Introductory,6 weeks,3–6 hours per week,,Free,$50 USD,English,English, None,
Engineering Design for a Circular Economy,Engineering,https://www.edx.org/course/engineering-design-for-a-circular-economy,,"Discover and develop sustainable design and engineering methods to improve the reuse, repair, remanufacturing, and recycling of products for a circular economy.","Products and equipment all around us are made of materials: look around you and you will see phones, computers, cars, and buildings. We face challenges in securing the supply of materials and the impact this has on the planet. Innovative product design can help us find solutions to these challenges. This course will explore new ways of designing products. 
The design of products is an important aspect of a circular economy. The circular economy approach addresses material supply challenges by keeping materials in use much longer and eventually returning materials for new use. The principle is that waste must be minimized. Products will be designed to last longer. They will be easier to Reuse, Repair, and Remanufacture. The product will eventually be broken down and Recycled. This is Design for R and is the focus of this course. 
Experts from leading European universities and research organizations will explain the latest strategies in product design. Current design approaches lead to waste, loss of value and loss of resources. You will learn about the innovative ways in which companies are creating value, whilst securing their supply chains, by integrating Design for R. 
This course is suitable for all learners who have an interest in product design, innovative engineering, new business activity, entrepreneurship, sustainability, circular economy and everyone who thinks that the current way we do things today needs a radical rethink.",Advanced,6 weeks,3–4 hours per week,"15,370",Free,$149 USD,English,English," Intended for design and engineering students and professionals. This course is aimed at students and working professionals with a basic background knowledge of design, engineering, and Circular Economy. If you want to learn the basics of Design for a Circular Economy we invite you to take a look at Circular Economy: An introductionbefore the start of this course. Previous knowledge of Circular Economy concepts is preferred but not necessary.",
