title,url,categories,description_short,description_long,difficulty,duration,free_option,number_of_enroll,rating,paid_option,language,subtitle,platform,provider,image_url
Data Science for Smart Cities,https://www.edx.org/course/data-science-for-smart-cities,"Data Analysis & Statistics, Engineering","Learn various scientific techniques that will allow the analysis, inference and prediction of large-scale data (e.g. GPS vehicular data, social media data, mobile phone data, individual social network data etc.) that are present in city networks.","The availability of low cost and ubiquitous sensors in city infrastructure provides high granular data at unprecedented spatiotemporal scales. “Smart Cities” envision to utilize this data to provide a healthy, happy and sustainable urban ecosystem by integrating the information and communication technology (ICT), Internet of things (IoT) and citizen participation to effectively manage and utilize city infrastructure and services. “Data Science” is an interdisciplinary field of scientific methods, processes, algorithms and systems to extract knowledge from data in various forms and provides fast and efficient understanding of the current dynamics of cities and ways to improve different services. This course will introduce scientific techniques that will allow the analysis, inference and prediction of large-scale data (e.g. GPS vehicular data, social media data, mobile phone data, individual social network data, etc.) that are present in city networks. Basics of the data science methods to analyze these datasets will be presented. The course will focus both on the methods and their application to smart-city problems. Python will be used to demonstrate the application of each method on datasets available to the instructor. Examples of problems that will be discussed include ridesharing platforms, smart and energy-efficient buildings, evacuation modeling, decision making during extreme events & urban resilience.",1,2,1,0,0.0,"$2,250",English,English,Edx,Purdue University,https://prod-discovery.edx-cdn.org/media/course/image/59728f01-0073-45ea-a88a-f0c14fc575d9-d2a33fb4c535.small.jpeg
Data Science: Inference and Modeling,https://www.edx.org/course/data-science-inference-and-modeling,"Computer Science, Data Analysis & Statistics","Learn inference and modeling, two of the most widely used statistical tools in data analysis.","Statistical inference and modeling are indispensable for analyzing data affected by chance, and thus essential for data scientists. In this course, you will learn these key concepts through a motivating case study on election forecasting. 
This course will show you how inference and modeling can be applied to develop the statistical approaches that make polls an effective tool and we'll show you how to do this using R. You will learn concepts necessary to define estimates and margins of errors and learn how you can use these to make predictions relatively well and also provide an estimate of the precision of your forecast. 
Once you learn this you will be able to understand two concepts that are ubiquitous in data science: confidence intervals, and p-values. Then, to understand statements about the probability of a candidate winning, you will learn about Bayesian modeling. Finally, at the end of the course, we will put it all together to recreate a simplified version of an election forecast model and apply it to the 2016 election.",0,1,1,103349,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/c654bfe1-69ba-4a2b-8be1-9acb2e846855-3aa512994f13.small.jpg
Data Science: Linear Regression,https://www.edx.org/course/data-science-linear-regression,"Computer Science, Data Analysis & Statistics, Math","Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.","Linear regression is commonly used to quantify the relationship between two or more variables. It is also used to adjust for confounding. This course, part ofourProfessional Certificate Program in Data Science, covers how to implement linear regression and adjust for confounding in practice using R. 
In data science applications, it is very common to be interested in the relationship between two or more variables. The motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in Moneyball. We will try to determine which measured outcomes best predict baseball runs by using linear regression. 
We will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. Linear regression is a powerful technique for removing confounders, but it is not a magical process. It is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique.",0,1,1,88807,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/e88b2359-c517-4316-8e32-5c7d54a85b8a-7bcab4d968c1.small.jpg
Data Science: Machine Learning,https://www.edx.org/course/data-science-machine-learning,"Computer Science, Data Analysis & Statistics",Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. 
In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. 
You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning.",0,1,1,351792,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/7e5958e8-d709-41ab-8f8c-4339f7a733c9-bbb3b4ab9455.small.jpg
Data Science: Probability,https://www.edx.org/course/data-science-probability,"Data Analysis & Statistics, Math",Learn probability theory -- essential for a data scientist -- using a case study on the financial crisis of 2007-2008.,"In this course, part of our Professional Certificate Program in Data Science,you will learn valuable concepts in probability theory. The motivation for this course is the circumstances surrounding the financial crisis of 2007-2008. Part of what caused this financial crisis was that the risk of some securities sold by financial institutions was underestimated. To begin to understand this very complicated event, we need to understand the basics of probability. 
We will introduce important concepts such as random variables, independence, Monte Carlo simulations, expected values, standard errors, and the Central Limit Theorem. These statistical concepts are fundamental to conducting statistical tests on data and understanding whether the data you are analyzing is likely occurring due to an experimental method or to chance. 
Probability theory is the mathematical foundation of statistical inference which is indispensable for analyzing data affected by chance, and thus essential for data scientists.",0,1,1,159261,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/54a056bd-bfd5-45a2-ba71-aad017e1d275-a2fbb913691a.small.jpg
Data Science: Productivity Tools,https://www.edx.org/course/data-science-productivity-tools,"Computer Science, Data Analysis & Statistics","Keep your projects organized and produce reproducible reports using GitHub, git, Unix/Linux, and RStudio.","A typical data analysis project may involve several parts, each including several data files and different scripts with code. Keeping all this organized can be challenging. 
Part of our Professional Certificate Program in Data Science, this course explains how to use Unix/Linux as a tool for managing files and directories on your computer and how to keep the file system organized. You will be introduced to the version control systems git, a powerful tool for keeping track of changes in your scripts and reports. We also introduce you to GitHub and demonstrate how you can use this service to keep your work in a repository that facilitates collaborations. 
Finally, you will learn to write reports in R markdown which permits you to incorporate text and code into a document. We'll put it all together using the powerful integrated desktop environment RStudio.",0,1,1,80336,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/18cf89ce-aa23-493a-91ce-1c341b7e1621-a575bd6c50e6.small.jpg
Data Science: R Basics,https://www.edx.org/course/data-science-r-basics,"Computer Science, Data Analysis & Statistics","Build a foundation in R and learn how to wrangle, analyze, and visualize data.","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. 
We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. 
Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. 
The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.",0,1,1,666323,0.0,$149,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/91f52ef3-fa3f-4934-9d19-8d5a32635cd4-d99e27f09d19.small.jpg
Data Science Readiness Assessment,https://www.edx.org/course/data-science-readiness-assessment,"Computer Science, Data Analysis & Statistics, Math",Evaluate your level of preparedness in key aspects of mathematics and programming that are fundamental to a career in Data Science.,"Are you interested in pursuing a degree in Data Science, but unsure whether you have the necessary Math and Programming skills? This assessment will help you identify your current readiness in three core areas required for the study of Data Science; Calculus, Linear Algebra, and Programming.
You can take this assessment at your own pace and receive a private score report that identifies your readiness in each specific area. We will also provide, when necessary, recommendations for additional free online study.
This assessment is free, unproctored, and not offered for credit; it is designed for enrichment and self-assessment for anyone interested in pursuing data science as a career.​",1,0,1,0,0.0,$49,English,English,Edx,University of Notre Dame,https://prod-discovery.edx-cdn.org/media/course/image/c169f37f-4feb-4551-9e23-b1a131646d20-d88b6ab25aed.small.jpg
Data Science: Visualization,https://www.edx.org/course/data-science-visualization,"Computer Science, Data Analysis & Statistics",Learn basic data visualization principles and how to apply them using ggplot2.,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. 
We'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. 
The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career.",0,1,1,214878,0.0,$149,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/b4072f23-f746-43a1-9819-8e3d8b066f38-76465b3bdbcc.small.jpg
Data Science: Wrangling,https://www.edx.org/course/data-science-wrangling,"Computer Science, Data Analysis & Statistics",Learn to process and convert raw data into formats needed for analysis.,"In this course, part of our Professional Certificate Program in Data Science,we cover several standard steps of the data wrangling process like importing data into R, tidying data, string processing, HTML parsing, working with dates and times, and text mining. Rarely are all these wrangling steps necessary in a single analysis, but a data scientist will likely face them all at some point. 
Very rarely is data easily accessible in a data science project. It's more likely for the data to be in a file, a database, or extracted from documents such as web pages, tweets, or PDFs. In these cases, the first step is to import the data into R and tidy the data, using the tidyverse package. The steps that convert data from its raw form to the tidy form is called data wrangling. 
This process is a critical step for any data scientist. Knowing how to wrangle and clean data will enable you to make critical insights that would otherwise be hidden.",0,1,1,78092,0.0,$99,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/f910ba78-cf5d-4da6-9168-d3b716a9d0e7-7aba00af22f0.small.jpg
Data Storage and Processing,https://www.edx.org/course/data-storage-and-processing,"Computer Science, Data Analysis & Statistics","Master the culture of data representation, interpretation and outcomes evaluation. Learn the fundamentals of relational and NoSQL database management systems.","Want to learn data processing and interpreting the result you’ve got? This course is for you! Get acquainted with preparing and analyzing large amount of data, as well as data storage fundamentals.
This course is an introduction to initial data processing. We will start with data types and sources, methods of data preparation: cleaning, filling in the missing values, data smoothing and normalization. The course will familiarize you with the descriptive statistics and data visualization methods. You will also learn how to analyze time series and find trends.
Get acquainted with the fundamentals of data storage and access: databases types, relational and NoSQL databases, big data initials.
No previous programming knowledge needed.",0,1,1,0,0.0,$149,English,English,Edx,ITMO University,https://prod-discovery.edx-cdn.org/media/course/image/c3c790ea-5327-4561-bec9-09171d3efaeb-4f83dc40a83c.small.png
"Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues",https://www.edx.org/course/data-structures-algorithms-i-arraylists-linkedlists-stacks-and-queues,Computer Science,"Work with the principles of data storage in Arrays, ArrayLists & LinkedList nodes. Understand their operations and performance with visualizations. Implement low-level linear, linked data structures with recursive methods, and explore their edge cases. Extend these structures to the Abstract Data Types, Stacks, Queues and Deques.","The Data Structures & Algorithms course begins with a review of some important Java techniques and nuances in programming. The course requires some prior knowledge of Java and object-oriented programming, but not in data structures or algorithms. This course introduces you to time complexity, and threads this concept throughout all data structures and algorithms presented in the course. You will work with the principles of data storage in Arrays and LinkedList nodes. You will program the low-level data structures: Singly, Circular and Doubly LinkedLists; and explore edge cases and efficiencies. LinkedLists and Arrays are used to implement Abstract Data Types, ADTs: Stacks, Queues and Deques. Harnessing the power of recursion to move through these data structures is necessary. As the size changes in your data structures, it becomes important to examine amortized analysis of the operations.
The course design has several components and is built around modules. A module consists of a series of short (3-5 minute) instructional videos. In between the videos, there are textual frames with additional content information for clarification, as well as video errata dropdown boxes. All modules include an Exploratory Lab that incorporates a Visualization Tool specifically designed for this course. The lab includes discovery questions that lead you towards delving deeper into the efficiency of the data structures and examining the edge cases. This is followed by a set of comprehension questions on topics covered in the module that count for 10% of your grade. The modules end with Java coding assignments which are 60% of your grade. Lastly, you'll complete a course exam, which counts for the remaining 30% of your grade.
This is a great course that has been derived from the on-campus version of CS1332 at the Georgia Institute of Technology, and is backed with an impressive reputation.",1,1,1,7934,0.0,$149,English,English,Edx,The Georgia Institute of Technology,https://prod-discovery.edx-cdn.org/media/course/image/5fda4000-8baf-4c1a-b6e6-840189eda463-954cccca3c64.small.jpeg
"Data Structures & Algorithms II: Binary Trees, Heaps, SkipLists and HashMaps",https://www.edx.org/course/data-structures-algorithms-ii-binary-trees-heaps-skiplists-and-hashmaps,Computer Science,"Become familiar with nonlinear and hierarchical data structures. Study various tree structures: Binary Trees, BSTs and Heaps. Understand tree operations and algorithms. Learn and implement HashMaps that utilize key-value pairs to store data. Explore probabilistic data structures like SkipLists. Course tools help visualize the structures and performance.","This Data Structures & Algorithms course extends beyond linear data structures in CS1332xI to the nonlinear and hierarchical data structures here in CS1332xII. A short Java review is presented on topics relevant to new data structures covered in this course. The course does require prior knowledge of Java, object-oriented programming and linear data structures. Time complexity is threaded throughout the course within all the nonlinear data structures and algorithms.
You will explore the hierarchical data structure of trees. Trees have important properties such as shape and order which are used to categorize trees into different groups and define their functionality. The course begins by explaining Binary Trees and two subgroups: Binary Search Trees (BSTs) and Binary Heaps. You will program BSTs, their operations and traversal algorithms. BSTs are an important structure when wanting to access information quickly. Heaps approach access differently and prioritize what data is accessed. Heaps also employ the concept of up-heap and down-heap operations not found in other structures.
HashMaps and SkipLists are the last data structures discussed in the course. The HashMap ADT is a collection of key-value pairs. The key-value pairs are stored in an unordered manner based on hash codes and compression functions that translate keys into integers. You will investigate different collision strategies and implement one. SkipLists are a probabilistic data structures where data is placed in the structure based on a randomization procedure.
The course design has several components and is built around modules. A module consists of a series of short (3-5 minute) instructional videos. In between the videos, there are textual frames with additional content information for clarification, as well as video errata dropdown boxes. All modules include an Exploratory Lab that incorporates a Visualization Tool specifically designed for this course. The lab includes discovery questions that lead you towards delving deeper into the efficiency of the data structures and examining the edge cases. This is followed by a set of comprehension questions on topics covered in the module that count for 10% of your grade. The modules end with Java coding assignments which are 60% of your grade. Lastly, you'll complete a course exam, which counts for the remaining 30% of your grade.",1,1,1,0,0.0,$149,English,English,Edx,The Georgia Institute of Technology,https://prod-discovery.edx-cdn.org/media/course/image/6a5f3546-a974-4bcf-adf7-d9acb31c81b9-ce3dc0df5acc.small.jpeg
"Data Structures & Algorithms III: AVL and 2-4 Trees, Divide and Conquer Algorithms",https://www.edx.org/course/data-structures-algorithms-iii-avl-and-2-4-trees-divide-and-conquer-algorithms,Computer Science,"Learn more complex tree data structures, AVL and (2-4) trees. Investigate the balancing techniques found in both tree types. Implement these techniques in AVL operations. Explore sorting algorithms with simple iterative sorts, followed by Divide and Conquer algorithms. Use the course visualizations to understand the performance.","This Data Structures & Algorithms course completes the data structures portion presented in the sequence of courses with self-balancing AVL and (2-4) trees. It also begins the algorithm portion in the sequence of courses. A short Java review is presented on topics relevant to new data structures covered in this course. The course does require prior knowledge of Java, object-oriented programming, and linear and nonlinear data structures. Time complexity is threaded throughout the course within all the data structures and algorithms.
You will investigate and explore the two more complex data structures: AVL and (2-4) trees. Both of these data structures focus on self-balancing techniques that will ensure all operations are O(log n). AVL trees are a subgroup of BSTs and thus inherit all the properties and constraints from BSTs. Additionally, AVLs incorporate rotations that are triggered when the tree is mutated and becomes out of balance. (2-4) trees are a subgroup of B-Trees and are non-binary trees with more than 2 children. 2-4 defines the range of children that exists in the trees. However, these trees are extremely flexible and allow the nodes to shrink and grow as needed to store more data. With this flexibility comes more issues to handle, like overflow and underflow which require more intense techniques to resolve the issues.
As you enter the algorithm portion of the course, you begin with a couple of familiar iterative sorting algorithms: Bubble and Selection. There are optimizations that can be included in the standard Bubble sort to make it more adaptive in sorting. There is also a derivation of bubble sort, called Cocktail Shaker sort, that puts new a spin on the basic algorithm. Insertion sort is the last iterative sort that is investigated in this group of sort algorithms. Divide & Conquer sorting algorithms are examined and are broken into two groups: comparison sorts and non-comparison sorts. The two comparison sorts are Merge and In-place Quick sort. Both are recursive and focus on subdividing the array into smaller portions. LSD Radix sort is the non-comparison sort that deconstructs an integer number and examines the digits. All algorithms are analyzed for stability, memory storage, adaptiveness, and time complexity.
The course design has several components and is built around modules. A module consists of a series of short (3-5 minute) instructional videos. In between the videos, there are textual frames with additional content information for clarification, as well as video errata dropdown boxes. All modules include an Exploratory Lab that incorporates a Visualization Tool specifically designed for this course. The lab includes discovery questions that lead you towards delving deeper into the efficiency of the data structures and examining the edge cases. This is followed by a set of comprehension questions on topics covered in the module that count for 10% of your grade. The modules end with Java coding assignments which are 60% of your grade. Lastly, you'll complete a course exam, which counts for the remaining 30% of your grade.",1,1,1,0,0.0,$149,English,English,Edx,The Georgia Institute of Technology,https://prod-discovery.edx-cdn.org/media/course/image/8b38cf01-e5fb-4e07-8d1e-eedcb37ae558-c7d51e17f6b0.small.jpeg
"Data Structures & Algorithms IV: Pattern Matching, Dijkstra’s, MST, and Dynamic Programming Algorithms",https://www.edx.org/course/data-structures-algorithms-iv-pattern-matching-djikstras-mst-and-dynamic-programming-algorithms,Computer Science,Delve into Pattern Matching algorithms from KMP to Rabin-Karp. Tackle essential algorithms that traverse the graph data structure like Dijkstra’s Shortest Path. Study algorithms that construct a Minimum Spanning Tree (MST) from a graph. Explore Dynamic Programming algorithms. Use the course visualization tool to understand the algorithms and their performance.,"This Data Structures & Algorithms course completes the 4-course sequence of the program with graph algorithms, dynamic programming and pattern matching solutions. A short Java review is presented on topics relevant to new data structures covered in this course. The course does require prior knowledge of Java, object-oriented programming and linear and non-linear data structures. Time complexity is threaded throughout the course within all the data structures and algorithms.
You will delve into the Graph ADT and all of its auxiliary data structures that are used to represent graphs. Understanding these representations is key to developing algorithms that traverse the entire graph. Two traversal algorithms are studied: Depth-First Search and Breadth-First Search. Once a graph is traversed then it follows that you want to find the shortest path from a single vertex to all other vertices. Dijkstra’s algorithm allows you to have a deeper understanding of the Graph ADT. You will investigate the Minimum Spanning Tree (MST) problem. Two important, greedy algorithms create an MST: Prim’s and Kruskal’s.
Prim’s focuses on connected graphs and uses the concept of growing a cloud of vertices. Kruskal’s approaches the MST differently and creates clusters of vertices that then form a forest.
The other half of this course examines text processing algorithms. Pattern Matching algorithms are crucial in everyday technology. You begin with the simplest of the algorithms, Brute Force, which is the easiest to implement and understand. Boyer-Moore and Knuth-Morris-Pratt (KMP) improve efficiency by using preprocessing techniques to find the pattern. However, KMP does an exceptional job of not repeating comparisons once the pattern is shifted. The last pattern matching algorithm is Rabin-Karp which is an “out of the box” approach to the problem. Rabin-Karp uses hash codes and a “rolling hash” to find the pattern in the text. A different text processing problem is locating DNA subsequences which leads us directly to Dynamic Programming techniques. You will break down large problems into simple subproblems that may overlap, but can be solved. Longest Common Subsequence is such an algorithm that locates the subsequence through dynamic programming techniques.",1,1,1,0,0.0,$149,English,English,Edx,The Georgia Institute of Technology,https://prod-discovery.edx-cdn.org/media/course/image/c721c68b-6c24-4fe3-aa23-cce991d318be-0c163c304e89.small.jpeg
Data Structures: An Active Learning Approach,https://www.edx.org/course/data-structures-an-active-learning-approach,Computer Science,"Learn about high-performance data structures and supporting algorithms, as well as the fundamentals of theoretical time complexity analysis through an interactive online text. ","This interactive text used in this course was written with the intention of teaching Computer Science students about various data structures as well as the applications in which each data structure would be appropriate to use. It is currently being taught at the University of California, San Diego (UCSD), the University of San Diego (USD), and the University of Puerto Rico (UPR). This coursework utilizes the Active Learning approach to instruction, meaning it has various activities embedded throughout to help stimulate your learning and improve your understanding of the materials we will cover. You will encounter ""STOP and Think"" questions that will help you reflect on the material, ""Exercise Breaks"" that will test your knowledge and understanding of the concepts discussed, and ""Code Challenges"" that will allow you to actually implement some of the algorithms we will cover. Currently, all code challenges are in C++ or Python, but the vast majority of the content is language-agnostic theory of complexity and algorithm analysis. In other words, even without C++ or Python knowledge, the key takeaways can still be obtained.",1,2,1,0,0.0,$50,English,English,Edx,"The University of California, San Diego",https://prod-discovery.edx-cdn.org/media/course/image/db4a9bb6-0ece-4edf-a7d2-3295ce022fb7-0e8aa0ed7a15.small.jpg
Data Structures and Software Design,https://www.edx.org/course/data-structures-and-software-design,"Computer Science, Engineering","Learn how to select, apply, and analyze the most appropriate data representations in your code and design high quality software that is easy to understand and modify.","Knowing how to code is only part of the skills needed to become a professional software developer.
This course, part of the CS Essentials for Software Development Professional Certificate program, will take your skills to the next level by teaching you how to write “good” software that appropriately represents and organizes data, is easy to maintain, and is of high quality.
As the purpose of most computer programs is to manipulate data, sometimes large quantities of it, the manner in which programs represent and organize data can have an enormous effect on the simplicity and efficiency of the code. In this course, you will learn about important core data structures such as arrays, lists, stacks, queues, sets, maps, trees, and graphs, and learn how to evaluate them and reason about their behavior and efficiency.
Most importantly, you will learn how to determine which data structure is the most appropriate for solving the problem at hand, and see how to use the implementations that are part of the Java library.
However, choosing the right data structure is only part of the challenge of developing high quality software: you must also consider the design of the classes that use those data structures. You will learn about software design principles such as modularity, functional independence, and abstraction, and apply those concepts toward writing programs that are easy to understand, easy to modify, and easy to test.
Although it is important to know how to write high quality code, professional software developers often spend a majority of their time maintaining existing code. You will also learn about software refactoring techniques for improving the design of existing code, and see how to improve code efficiency.
This course will use Java but the concepts you learn can be applied to almost all modern programming languages.",1,1,1,35844,0.0,$149,English,English,Edx,University of Pennsylvania,https://prod-discovery.edx-cdn.org/media/course/image/910f3ce1-1ffb-4bc1-99ff-86f8d5471851-b4e28cd06301.small.jpg
Data Structures Fundamentals,https://www.edx.org/course/data-structures-fundamentals,"Computer Science, Math",Learn about data structures that are used in computational thinking – both basic and advanced.,"A good algorithm usually comes together with a set of good data structures that allow the algorithm to manipulate the data efficiently. In this course, part of the Algorithms and Data Structures MicroMasters program, we consider the common data structures that are used in various computational problems. You will learn how these data structures are implemented in different programming languages and will practice implementing them in our programming assignments. This will help you to understand what is going on inside a particular built-in implementation of a data structure and what to expect from it. You will also learn typical use cases for these data structures.
A few examples of questions that we are going to cover in this course are:

What is a good strategy of resizing a dynamic array?
How priority queues are implemented in C++, Java, and Python?
How to implement a hash table so that the amortized running time of all operations is O(1) on average?
What are good strategies to keep a binary tree balanced?

We look forward to seeing you in this course! We know it will make you a better programmer.",1,2,1,47412,0.0,$99,English,English,Edx,"The University of California, San Diego",https://prod-discovery.edx-cdn.org/media/course/image/7b3e45ca-d79b-48e3-9b78-4e91f4209e3b-4b6a590c9549.small.jpg
Data Visualization for All,https://www.edx.org/course/data-visualization-for-all,"Data Analysis & Statistics, Humanities, Social Sciences","Tell your story with charts and maps on the web, using easy-to-learn free tools: Google Sheets, Tableau, Highcharts, Carto, Leaflet, GitHub","Tell your story and show it with data. In this data visualization course, you will learn how to design interactive charts and customized maps for your website.
We’ll begin with easy-to-learn tools, then gradually work our way up to editing open-source code templates with GitHub. Together, we’ll follow step-by-step tutorials with video screencasts, and share our work for feedback on the web. Real-world examples are drawn from Trinity College students working with community organizations in the City of Hartford, Connecticut.
This course is ideal for non-profit organizations, small business owners, local governments, journalists, academics, or anyone who wants to tell their story and show the data.
This introductory course in data visualization begins with the basics. No prior experience is required.",0,1,1,0,0.0,$49,English,English,Edx,Trinity College,https://prod-discovery.edx-cdn.org/media/course/image/e0a5282c-9bd9-4e84-be06-d48e7f8a9628-4897955589fd.small.jpg
Databases: Relational Databases and SQL,https://www.edx.org/course/databases-5-sql,Computer Science,"This course is one of five self-paced courses on the topic of Databases, originating as one of Stanford's three inaugural massive open online courses released in the fall of 2011. The original ""Databases"" courses are now all available on edx.org.
This course provides an introduction to relational databases and comprehensive coverage of SQL, the long-accepted standard query language for relational database systems.
Databases: Advanced Topics in SQL and Databases: OLAP and Recursion are follow-on courses to this course and can be taken in either order. Advanced Topics is a broad and practical course covering indexes, transactions, constraints, triggers, views, and authorization, while OLAP and Recursion is recommended for learners with specific interest in these topics.","About the Database Series of Courses
""Databases"" was one of Stanford's three inaugural massive open online courses in the fall of 2011. It has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. The material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. 
Relational Databases and SQL is the most popular course in the Databases series. It is applicable to learners seeking to gain a strong understanding of relational databases, and to master SQL, the long-accepted standard query language for relational database systems. Additional courses focus on advanced concepts in relational databases and SQL, formal foundations and database design methodologies, and semistructured data.
All of the courses are based around video lectures and demos. Many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. Each course also includes an unmoderated discussion forum and pointers to readings and resources. The courses are described briefly below. Taught by Professor Jennifer Widom, the overall curriculum draws from Stanford's popular longstanding Databases course.
Why Learn About Databases
Databases are incredibly prevalent -- they underlie technology used by most people every day if not every hour. Databases reside behind a huge number of websites; they're a crucial component of telecommunications systems, banking systems, video games, and just about any other software system or electronic device that maintains some amount of persistent information. In addition to persistence, database systems provide a number of other properties that make them exceptionally useful and convenient: reliability, efficiency, scalability, concurrency control, data abstractions, and high-level query languages. Databases are so ubiquitous and important that computer science graduates frequently cite their database class as the one most useful to them in their industry or graduate-school careers.",0,1,1,45597,0.0,$50,English,English,Edx,Stanford University,https://prod-discovery.edx-cdn.org/media/course/image/7248ea90-dad7-4b7d-b4f3-946ed6eae5e3-ce956c9963c7.small.png
Death 101: Shaping the Future of Global Health,https://www.edx.org/course/death-101-shaping-the-future-of-global-health,"Biology & Life Sciences, Data Analysis & Statistics, Medicine","To help the living, study the dead: we will analyze the world’s biggest health problems by investigating causes of death.","This global health and life sciences course enables learners to investigate health problems affecting large populations – the whole world in fact! By understanding the big numbers in global mortality and their causes and distributions you will learn how to think numerically about global health. We will use real data from real people to ask the questions: What are the major causes of death in the world? Why do we need cause of death statistics? How does counting the dead help the living? 
We begin with a historical perspective on global mortality and end with a hopeful look toward future trends. In between, you will learn about how death prior to old age can be avoided, worldwide mortality rates, and specific diseases such as HIV, malaria, childhood conditions, chronic diseases, and risk factors such as smoking. This course will help you use population statistics to understand how rapid gains in health are possible.",0,1,1,11510,0.0,$49,English,English,Edx,University of Toronto,https://prod-discovery.edx-cdn.org/media/course/image/1aff5a6c-bd75-4770-b073-e95c70a4b373-1e8afccc0b49.small.jpg
Decision-Making for Autonomous Systems,https://www.edx.org/course/decision-making-for-autonomous-systems,"Data Analysis & Statistics, Engineering, Math","Learn effectivetactics for making keydecisionswhen working with autonomous, self-driving vehicles.","In autonomous vehicles such as self-driving cars, we find a number of interesting and challenging decision-making problems. Starting from the autonomous driving of a single vehicle, to the coordination among multiple vehicles. 
This course will teach you the fundamental mathematical model for many of these real-world problems. Key topics include Markov decision process, reinforcement learning and event-based methods as well as the modelling and solving of decision-making for autonomous systems. 
This course is aimed at learners with a bachelor's degree or engineers in the automotive industry who need to develop their knowledge in decision-making models for autonomous systems. 
Enhance your decision-making skills in automotive engineering by learning from Chalmers, one of the top engineering schools that distinguished through its close collaboration with industry.",2,2,1,8670,0.0,$249,English,English,Edx,Chalmers University of Technology,https://prod-discovery.edx-cdn.org/media/course/image/ea59586a-e204-42cd-b756-3dd96c43162e-73beaf34022d.small.jpg
